  0.000000000000000E+000  -23.0258509299405     
  3.382199997036489E+016  -23.0028020301107     
  6.843261311953491E+016  -22.9797531302809     
  1.038502272022014E+017  -22.9567042304511     
  1.400936587122827E+017  -22.9336553306214     
  1.771821628796419E+017  -22.9106064307916     
  2.151354438998937E+017  -22.8875575309618     
  2.539736654027333E+017  -22.8645086311321     
  2.937174611643524E+017  -22.8414597313023     
  3.343879460696289E+017  -22.8184108314725     
  3.760067273299185E+017  -22.7953619316427     
  4.185959159624048E+017  -22.7723130318130     
  4.621781385371078E+017  -22.7492641319832     
  5.067765491977928E+017  -22.7262152321534     
  5.524148419631630E+017  -22.7031663323237     
  5.991172633148741E+017  -22.6801174324939     
  6.469086250790557E+017  -22.6570685326641     
  6.958143176081882E+017  -22.6340196328344     
  7.458603232703304E+017  -22.6109707330046     
  7.970732302528701E+017  -22.5879218331748     
  8.494802466881324E+017  -22.5648729333450     
  9.031092151083433E+017  -22.5418240335153     
  9.579886272376353E+017  -22.5187751336855     
  1.014147639128947E+018  -22.4957262338557     
  1.071616086653868E+018  -22.4726773340260     
  1.130424501353647E+018  -22.4496284341962     
  1.190604126659787E+018  -22.4265795343664     
  1.252186934492867E+018  -22.4035306345366     
  1.315205642248348E+018  -22.3804817347069     
  1.379693730178472E+018  -22.3574328348771     
  1.445685459179446E+018  -22.3343839350473     
  1.513215888993284E+018  -22.3113350352176     
  1.582320896834181E+018  -22.2882861353878     
  1.653037196449061E+018  -22.2652372355580     
  1.725402357622629E+018  -22.2421883357282     
  1.799454826137198E+018  -22.2191394358985     
  1.875233944197870E+018  -22.1960905360687     
  1.952779971333992E+018  -22.1730416362389     
  2.032134105787991E+018  -22.1499927364092     
  2.113338506402846E+018  -22.1269438365794     
  2.196436315019928E+018  -22.1038949367496     
  2.281471679399124E+018  -22.0808460369199     
  2.368489776673322E+018  -22.0577971370901     
  2.457536837349772E+018  -22.0347482372603     
  2.548660169871110E+018  -22.0116993374305     
  2.641908185749009E+018  -21.9886504376008     
  2.737330425283908E+018  -21.9656015377710     
  2.834977583884398E+018  -21.9425526379412     
  2.934901539000288E+018  -21.9195037381115     
  3.037155377683639E+018  -21.8964548382817     
  3.141793424792489E+018  -21.8734059384519     
  3.248871271852091E+018  -21.8503570386221     
  3.358445806589124E+018  -21.8273081387924     
  3.470575243154603E+018  -21.8042592389626     
  3.585319153051390E+018  -21.7812103391328     
  3.702738496782853E+018  -21.7581614393031     
  3.822895656239446E+018  -21.7351125394733     
  3.945854467840499E+018  -21.7120636396435     
  4.071680256448615E+018  -21.6890147398137     
  4.200439870074947E+018  -21.6659658399840     
  4.332201715393649E+018  -21.6429169401542     
  4.467035794084356E+018  -21.6198680403244     
  4.605013740022034E+018  -21.5968191404947     
  4.746208857334058E+018  -21.5737702406649     
  4.890696159344502E+018  -21.5507213408351     
  5.038552408426632E+018  -21.5276724410054     
  5.189856156784372E+018  -21.5046235411756     
  5.344687788184901E+018  -21.4815746413458     
  5.503129560664161E+018  -21.4585257415160     
  5.665265650228119E+018  -21.4354768416863     
  5.831182195572998E+018  -21.4124279418565     
  6.000967343848149E+018  -21.3893790420267     
  6.174711297486071E+018  -21.3663301421970     
  6.352506362124251E+018  -21.3432812423672     
  6.534446995644329E+018  -21.3202323425374     
  6.720629858354730E+018  -21.2971834427076     
  6.911153864343400E+018  -21.2741345428779     
  7.106120234027787E+018  -21.2510856430481     
  7.305632547930204E+018  -21.2280367432183     
  7.509796801706902E+018  -21.2049878433886     
  7.718721462460356E+018  -21.1819389435588     
  7.932517526364487E+018  -21.1588900437290     
  8.151298577633392E+018  -21.1358411438992     
  8.375180848865068E+018  -21.1127922440695     
  8.604283282792290E+018  -21.0897433442397     
  8.838727595472942E+018  -21.0666944444099     
  9.078638340953942E+018  -21.0436455445802     
  9.324142977442861E+018  -21.0205966447504     
  9.575371935022361E+018  -20.9975477449206     
  9.832458684943473E+018  -20.9744988450908     
  1.009553981053452E+019  -20.9514499452611     
  1.036475507976341E+019  -20.9284010454313     
  1.064024751949172E+019  -20.9053521456015     
  1.092216349146020E+019  -20.8823032457718     
  1.121065277004585E+019  -20.8592543459420     
  1.150586862183200E+019  -20.8362054461122     
  1.180796788703382E+019  -20.8131565462825     
  1.211711106282216E+019  -20.7901076464527     
  1.243346238859016E+019  -20.7670587466229     
  1.275718993320801E+019  -20.7440098467931     
  1.308846568431233E+019  -20.7209609469634     
  1.342746563967693E+019  -20.6979120471336     
  1.377436990071445E+019  -20.6748631473038     
  1.412936276815803E+019  -20.6518142474741     
  1.449263283997337E+019  -20.6287653476443     
  1.486437311155448E+019  -20.6057164478145     
  1.524478107825501E+019  -20.5826675479847     
  1.563405884031033E+019  -20.5596186481550     
  1.603241321020613E+019  -20.5365697483252     
  1.644005582255016E+019  -20.5135208484954     
  1.685720324650610E+019  -20.4904719486657     
  1.728407710084836E+019  -20.4674230488359     
  1.772090417169996E+019  -20.4443741490061     
  1.816791653301536E+019  -20.4213252491763     
  1.862535166987242E+019  -20.3982763493466     
  1.909345260463933E+019  -20.3752274495168     
  1.957246802608254E+019  -20.3521785496870     
  2.006265242148559E+019  -20.3291296498573     
  2.056426621184814E+019  -20.3060807500275     
  2.107757589023715E+019  -20.2830318501977     
  2.160285416336395E+019  -20.2599829503680     
  2.214038009646233E+019  -20.2369340505382     
  2.269043926154438E+019  -20.2138851507084     
  2.325332388911306E+019  -20.1908362508786     
  2.382933302341210E+019  -20.1677873510489     
  2.441877268129572E+019  -20.1447384512191     
  2.502195601480194E+019  -20.1216895513893     
